=== SHEET: Mapeamento Entrega As Built ===
Total rows: 332

HEADERS: ["Número","Data","Entrega","Responsável","Edificação","Disciplina","Arquivo Entregue","Formato","Modelo?","Modelo Base","Modelo Final","Observações","Ação","Coluna5","Coluna2","Coluna3","Coluna1"]
ROW 13: [13,45813,"004. SM 23 - 05.06.2025","OCLE","Prédio Produção","PCI","NEO-23001-AS-PCI-MO-002-SPRINKLER 05.06-R16","rvt","Sim","NEO-23001-PE-16-PCI-MO-002-R16","NEO-23001-AS-PCI-001-PROD1-R00","","","","","",""]
ROW 14: [14,45813,"004. SM 23 - 05.06.2025","OCLE","Prédio Produção","Climatização","NEO-23001-AS-CLI 05.06-000-R18","rvt","Sim","NEO-23001-PE-CLI-000-R18","NEO-23001-AS-CLI-001-PROD1-R00","","","","","",""]
ROW 15: [15,45813,"004. SM 23 - 05.06.2025","OCLE","Prédio Produção","Utilidades","NEO-23001-AS-17-UTI-MO 05.06-004-R00","rvt","Sim","NEO-23001-PE-17-UTI-MO-001-R25","NEO-23001-AS-UTI-001-PROD1-R00","","","","","",""]
ROW 16: [16,45813,"004. SM 23 - 05.06.2025","OCLE","Prédio Produção","SDAI","NEO-23001-AS-SDA-003-MOD PRODUCAO 05.06-R03","rvt","Sim","NEO-23001-PE-SDA-003-MOD PRODUCAO-R03","NEO-23001-AS-SDA-001-PROD1-R00","","","","","",""]
ROW 17: [17,45827,"005. SM 25 - 19.06.2025","OCLE","Prédio Produção","PCI","NEO-23001-AS-PCI-MO-002-SPRINKLER 19.06-R16","rvt","Sim","NEO-23001-PE-16-PCI-MO-002-R16","NEO-23001-AS-PCI-001-PROD1-R00","","","","","",""]
ROW 18: [18,45827,"005. SM 25 - 19.06.2025","OCLE","Prédio Produção","Climatização","NEO-23001-AS-CLI 19.06-000-R18","rvt","Sim","NEO-23001-PE-CLI-000-R18","NEO-23001-AS-CLI-001-PROD1-R00","","","","","",""]
ROW 19: [19,45827,"005. SM 25 - 19.06.2025","OCLE","Prédio Produção","Utilidades","NEO-23001-AS-17-UTI-MO 19.06-001-R25","rvt","Sim","NEO-23001-PE-17-UTI-MO-001-R25","NEO-23001-AS-UTI-001-PROD1-R00","","","","","",""]
ROW 20: [20,45841,"006. SM 27 - 03.07.2025","OCLE","Prédio Produção","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD PRODUCAO 04.07-R03","rvt","Sim","NEO-23001-PE-ELE-001-MOD PRODUCAO-R03","NEO-23001-AS-ELE-001-PROD1-R00","","","","","",""]
ROW 21: [21,45841,"006. SM 27 - 03.07.2025","OCLE","Prédio Produção","CFTV e Lógica","NEO-23001-AS-LOG-001-MOD PRODUCAO 04.07-R01","rvt","Sim","NEO-23001-PE-LOG-001-MOD PRODUCAO-R01","NEO-23001-AS-LOG-001-PROD1-R00","","","","","",""]
ROW 22: [22,45841,"006. SM 27 - 03.07.2025","OCLE","Prédio Produção","PCI","NEO-23001-AS-PCI-MO-002-SPRINKLER 04.07-R16","rvt","Sim","NEO-23001-PE-16-PCI-MO-002-R16","NEO-23001-AS-PCI-001-PROD1-R00","","","","","",""]
ROW 23: [23,45841,"006. SM 27 - 03.07.2025","OCLE","Prédio Produção","Climatização","NEO-23001-AS-CLI 04.07-000-R18","rvt","Sim","NEO-23001-PE-CLI-000-R18","NEO-23001-AS-CLI-001-PROD1-R00","","","","","",""]
ROW 24: [24,45841,"006. SM 27 - 03.07.2025","OCLE","Prédio Suporte","Climatização","NEO-23001-AS-CLI 04.07-000-R02","rvt","Sim","NEO-23001-PE-CLI-000-MODELO_IFC-R02","NEO-23001-AS-CLI-001-SUPO1-R00","","","","","",""]
ROW 25: [25,45841,"006. SM 27 - 03.07.2025","OCLE","Prédio Produção","Utilidades","NEO-23001-AS-17-UTI-MO 04.07-001-R25","rvt","Sim","NEO-23001-PE-17-UTI-MO-001-R25","NEO-23001-AS-UTI-001-PROD1-R00","","","","","",""]
ROW 26: [26,45841,"006. SM 27 - 03.07.2025","OCLE","Prédio Produção","SDAI","NEO-23001-AS-SDA-003-MOD PRODUCAO 04.07-R03","rvt","Sim","NEO-23001-PE-SDA-003-MOD PRODUCAO-R03","NEO-23001-AS-SDA-001-PROD1-R00","","","","","",""]
ROW 27: [27,45855,"007. SM 29 - 17.07.2025","OCLE","Prédio Produção","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD PRODUCAO 17.07-R03","rvt","Sim","NEO-23001-PE-ELE-001-MOD PRODUCAO-R03","NEO-23001-AS-ELE-001-PROD1-R00","","","","","",""]
ROW 28: [28,45855,"007. SM 29 - 17.07.2025","OCLE","Prédio Produção","PCI","NEO-23001-AS-PCI-MO-002-SPRINKLER 17.07-R16","rvt","Sim","NEO-23001-PE-16-PCI-MO-002-R16","NEO-23001-AS-PCI-001-PROD1-R00","","","","","",""]
ROW 29: [29,45855,"007. SM 29 - 17.07.2025","OCLE","Prédio Produção","Climatização","NEO-23001-AS-CLI 17.07-000-R18","rvt","Sim","NEO-23001-PE-CLI-000-R18","NEO-23001-AS-CLI-001-PROD1-R00","","","","","",""]
