=== SHEET: Mapeamento Entrega As Built ===
Total rows: 332

HEADERS: ["Número","Data","Entrega","Responsável","Edificação","Disciplina","Arquivo Entregue","Formato","Modelo?","Modelo Base","Modelo Final","Observações","Ação","Coluna5","Coluna2","Coluna3","Coluna1"]
ROW 96: [96,45995,"016. SM 47 - 04.12.2025","OCLE","Prédio Produção","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD PRODUCAO 04.12-R03","rvt","Sim","NEO-23001-PE-ELE-001-MOD PRODUCAO-R03","NEO-23001-AS-ELE-001-PROD1-R00","","","","","",""]
ROW 97: [97,45995,"016. SM 47 - 04.12.2025","OCLE","Prédio Produção","CFTV e Lógica","NEO-23001-AS-LOG-001-MOD PRODUCAO 04.12-R01","rvt","Sim","NEO-23001-PE-LOG-001-MOD PRODUCAO-R01","NEO-23001-AS-LOG-001-PROD1-R00","","","","","",""]
ROW 98: [98,45995,"016. SM 47 - 04.12.2025","OCLE","Prédio Produção","PCI","NEO-23001-AS-16-PCI-MO-001- 04.12-R16","rvt","Sim","NEO-23001-PE-16-PCI-MO-001-R16","NEO-23001-AS-PCI-001-PROD1-R00","","","","","",""]
ROW 99: [99,45995,"016. SM 47 - 04.12.2025","OCLE","Prédio Produção","PCI","NEO-23001-AS-PCI-MO-002-SPRINKLER 04.12-R16","rvt","Sim","NEO-23001-PE-16-PCI-MO-002-R16","NEO-23001-AS-PCI-002-PROD1-R00","","","","","",""]
ROW 100: [100,45995,"016. SM 47 - 04.12.2025","OCLE","?","Climatização","NEO-23001-AS-CLI 04.12-000-R02","rvt","Sim"," ","","","","","","",""]
ROW 101: [101,45995,"016. SM 47 - 04.12.2025","OCLE","Prédio Produção","Climatização","NEO-23001-AS-CLI 04.12-000-R18","rvt","Sim","NEO-23001-PE-CLI-000-R18","NEO-23001-AS-CLI-001-PROD1-R00","","","","","",""]
ROW 102: [102,45995,"016. SM 47 - 04.12.2025","OCLE","Prédio Produção","Utilidades","NEO-23001-AS-17-UTI-MO 04.12-001-R25","rvt","Sim","NEO-23001-PE-17-UTI-MO-001-R25","NEO-23001-AS-UTI-001-PROD1-R00","","","","","",""]
ROW 103: [103,45995,"016. SM 47 - 04.12.2025","OCLE","Prédio Produção","SDAI","NEO-23001-AS-SDA-003-MOD PRODUCAO 04.12-R03","rvt","Sim","NEO-23001-PE-SDA-003-MOD PRODUCAO-R03","NEO-23001-AS-SDA-001-PROD1-R00","","","","","",""]
ROW 104: [104,46009,"017. SM 49 - 18.12.2025","OCLE","Prédio Produção","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD PRODUCAO 18.12-R03","rvt","Sim","NEO-23001-PE-ELE-001-MOD PRODUCAO-R03","NEO-23001-AS-ELE-001-PROD1-R00","","","","","",""]
ROW 105: [105,46009,"017. SM 49 - 18.12.2025","OCLE","Prédio Suporte","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD SUPORTE 18.12-R00","rvt","Sim","NEO-23001-PE-ELE-001-MOD SUPORTE-R00","NEO-23001-AS-ELE-001-SUPO1-R00","","","","","",""]
ROW 106: [106,46009,"017. SM 49 - 18.12.2025","OCLE","Implantação","Instalações Elétricas","NEO-23001-AS-ELEMT-001-MOD IMPLANTAÇÃO 18.12-R00","rvt","Sim"," ","","","","","","",""]
ROW 107: [107,46009,"017. SM 49 - 18.12.2025","OCLE","?","Instalações Elétricas","SPN.ELE.00-AS-.001-R04-MOD 18.12","rvt","Sim"," ","","","","","","",""]
ROW 108: [108,46009,"017. SM 49 - 18.12.2025","OCLE","?","CFTV e Lógica","NEO.TEL.00-AS-.001-MOD 18.12","rvt","Sim"," ","","","","","","",""]
ROW 109: [109,46009,"017. SM 49 - 18.12.2025","OCLE","Prédio Produção","CFTV e Lógica","NEO-23001-AS-LOG-001-MOD PRODUCAO 18.12-R01","rvt","Sim","NEO-23001-PE-LOG-001-MOD PRODUCAO-R01","NEO-23001-AS-LOG-001-PROD1-R00","","","","","",""]
ROW 110: [110,46009,"017. SM 49 - 18.12.2025","OCLE","Prédio Suporte","CFTV e Lógica","NEO-23001-AS-LOG-001-MOD SUPORTE 18.12-R03","rvt","Sim","NEO-23001-PE-LOG-001-MOD SUPORTE-R03","NEO-23001-AS-LOG-001-SUPO1-R00","","","","","",""]
ROW 111: [111,46009,"017. SM 49 - 18.12.2025","OCLE","Prédio Produção","SDAI","NEO-23001-AS-SDA-001-MOD IMPLANTAÇÃO-R02 18.12","rvt","Sim","NEO-23001-PE-SDA-001-MOD IMPLANTAÇÃO-R02","NEO-23001-AS-SDA-001-IMPL1-R00","","","","","",""]
ROW 112: [112,46030,"018. SM 02 - 08.01.2026","OCLE","?","Instalações Elétricas","NEO-23001-AS-BAR-001-MOD 08.01-R03","rvt","Sim"," ","","","","","","",""]
ROW 113: [113,46030,"018. SM 02 - 08.01.2026","OCLE","Portaria","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD PORTARIA 08.01-R01","rvt","Sim","NEO-23001-PE-ELE-001-MOD PORTARIA-R01","NEO-23001-AS-ELE-001-PORT1-R00","","","","","",""]
ROW 114: [114,46030,"018. SM 02 - 08.01.2026","OCLE","Prédio Produção","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD PRODUCAO 08.01-R07","rvt","Sim","NEO-23001-PE-ELE-001-MOD PRODUCAO-R07","NEO-23001-AS-ELE-001-PROD1-R00","","","","","",""]
ROW 115: [115,46030,"018. SM 02 - 08.01.2026","OCLE","Portaria","CFTV e Lógica","NEO-23001-AS-TEL-001-MOD PORTARIA 08.01-R03","rvt","Sim","NEO-23001-PE-TEL-001-MOD PORTARIA-R03","NEO-23001-AS-LOG-001-PORT1-R00","","","","","",""]
ROW 116: [116,46030,"018. SM 02 - 08.01.2026","OCLE","Prédio Produção","Utilidades","NEO-23001-AS-17-UTI-MO 08.01-001-R25","rvt","Sim","NEO-23001-PE-17-UTI-MO-001-R25","NEO-23001-AS-UTI-001-PROD1-R00","","","","","",""]
ROW 117: [117,46044,"019. SM 03 - 22.01.2026","OCLE","?","Instalações Elétricas","NEO-23001-AS-BAR-001-MOD 22.01-R03","rvt","Sim"," ","","","","","","",""]
ROW 118: [118,46044,"019. SM 03 - 22.01.2026","OCLE","Prédio Produção","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD PRODUCAO 22.01-R07","rvt","Sim","NEO-23001-PE-ELE-001-MOD PRODUCAO-R07","NEO-23001-AS-ELE-001-PROD1-R00","","","","","",""]
ROW 119: [119,46044,"019. SM 03 - 22.01.2026","OCLE","Prédio Suporte","Instalações Elétricas","NEO-23001-PE-ELE-001-MOD SUPORTE 22.01-R04","rvt","Sim","NEO-23001-PE-ELE-001-MOD SUPORTE-R04","NEO-23001-AS-ELE-001-SUPO1-R00","","","","","",""]
ROW 120: [120,46044,"019. SM 03 - 22.01.2026","OCLE","Prédio Produção","PCI","NEO-23001-AS-16-PCI HID-MO-001- 22.01-R16","rvt","Sim","NEO-23001-PE-16-PCI-MO-001-R16","NEO-23001-AS-PCI-001-PROD1-R00","","","","","",""]
ROW 121: [121,46044,"019. SM 03 - 22.01.2026","OCLE","Prédio Produção","PCI","NEO-23001-AS-PCI-MO-002-SPRINKLER 22.01-R17","rvt","Sim","NEO-23001-PE-16-PCI-MO-002-R17","NEO-23001-AS-PCI-002-PROD1-R00","","","","","",""]
ROW 122: [122,46044,"019. SM 03 - 22.01.2026","OCLE","?","Climatização","NEO-23001-AS-CLI 22.01-000-R02","rvt","Sim"," ","","","","","","",""]
ROW 123: [123,46044,"019. SM 03 - 22.01.2026","OCLE","Prédio Produção","Utilidades","NEO-23001-AS-17-UTI-MO 22.01-001-R25","rvt","Sim","NEO-23001-PE-17-UTI-MO-001-R25","NEO-23001-AS-UTI-001-PROD1-R00","","","","","",""]
ROW 124: [124,46058,"020. SM 04 - 05.02.2026","OCLE","?","Instalações Elétricas","NEO-23001-AS-BAR-001-MOD 05.02-R03","rvt","Sim"," ","","","","","","",""]
ROW 125: [125,46058,"020. SM 04 - 05.02.2026","OCLE","Implantação","Instalações Elétricas","NEO-23001-AS-ELEMT-001-MOD IMPLANTAÇÃO 05.02-R00","rvt","Sim"," ","","","","","","",""]
ROW 126: [126,46058,"020. SM 04 - 05.02.2026","OCLE","?","CFTV e Lógica","NEO.TEL.00-AS-.001-MOD 05.02","rvt","Sim"," ","","","","","","",""]
ROW 127: [127,46058,"020. SM 04 - 05.02.2026","OCLE","Prédio Suporte","PCI","NEO-23001-AS-16-PCI 05.02.26-MO-004-R06","rvt","Sim","NEO-23001-PE-16-PCI-MO-004-R06","NEO-23001-AS-PCI-002-SUPO1-R00","","","","","",""]
ROW 128: [128,46058,"020. SM 04 - 05.02.2026","OCLE","Prédio Produção","PCI","NEO-23001-AS-16-PCI HID-MO-001- 05.02-R16","rvt","Sim","NEO-23001-PE-16-PCI-MO-001-R16","NEO-23001-AS-PCI-001-PROD1-R00","","","","","",""]
ROW 129: [129,46058,"020. SM 04 - 05.02.2026","OCLE","Prédio Produção","PCI","NEO-23001-AS-PCI-MO-002-SPRINKLER 05.02-R17","rvt","Sim","NEO-23001-PE-16-PCI-MO-002-R17","NEO-23001-AS-PCI-002-PROD1-R00","","","","","",""]
ROW 130: [130,46058,"020. SM 04 - 05.02.2026","OCLE","Prédio Produção","Climatização","NEO-23001-AS-29-CLI-MO 05.02-000-R06","rvt","Sim","NEO-23001-PE-29-CLI-MO-000-R06","NEO-23001-AS-CLI-002-PROD1-R00","","","","","",""]
ROW 131: [131,46058,"020. SM 04 - 05.02.2026","OCLE","Prédio Produção","Climatização","NEO-23001-AS-CLI 05.02-000-R18","rvt","Sim","NEO-23001-PE-CLI-000-R18","NEO-23001-AS-CLI-001-PROD1-R00","","","","","",""]
ROW 132: [132,46058,"020. SM 04 - 05.02.2026","OCLE","Prédio Produção","Utilidades","NEO-23001-AS-17-UTI-MO 05.02-001-R25","rvt","Sim","NEO-23001-PE-17-UTI-MO-001-R25","NEO-23001-AS-UTI-001-PROD1-R00","","","","","",""]
ROW 133: [133,46058,"020. SM 04 - 05.02.2026","OCLE","Implantação","SDAI","NEO-23001-AS-SDA-001-MOD IMPLANTAÇÃO-R02 05.02","rvt","Sim","NEO-23001-PE-SDA-001-MOD IMPLANTAÇÃO-R02","NEO-23001-AS-SDA-001-IMPL1-R00","","","","","",""]
ROW 134: [134,46058,"020. SM 04 - 05.02.2026","OCLE","Prédio Produção","SDAI","NEO-23001-AS-SDA-003-MOD PRODUCAO 05.02-R04","rvt","Sim","NEO-23001-PE-SDA-003-MOD PRODUCAO-R04","NEO-23001-AS-SDA-001-PROD1-R00","","","","","",""]
ROW 135: [135,46058,"020. SM 04 - 05.02.2026","OCLE","Prédio Suporte","SDAI","NEO-23001-AS-SDA-004-MOD SUPORTE 05.02-R02","rvt","Sim","NEO-23001-PE-SDA-004-MOD SUPORTE-R02","NEO-23001-AS-SDA-001-SUPO1-R00","","","","","",""]
ROW 136: [136,46086,"021. SM 10 - 05.03.2026","OCLE","?","Instalações Elétricas","NEO-23001-AS-BAR-001-MOD 05.03-R03","rvt","Sim"," ","","","","","","",""]
ROW 137: [137,46086,"021. SM 10 - 05.03.2026","OCLE","Prédio Produção","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD PRODUCAO 05.03-R08","rvt","Sim","NEO-23001-PE-ELE-001-MOD PRODUCAO-R08","NEO-23001-AS-ELE-001-PROD1-R00","","","","","",""]
ROW 138: [138,46086,"021. SM 10 - 05.03.2026","OCLE","Prédio Suporte","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD SUPORTE 05.03-R05","rvt","Sim","NEO-23001-PE-ELE-001-MOD SUPORTE-R05","NEO-23001-AS-ELE-001-SUPO1-R00","","","","","",""]
ROW 139: [139,46086,"021. SM 10 - 05.03.2026","OCLE","Central de Utilidades","Instalações Elétricas","NEO-23001-AS-ELEMT-001-MOD UTLIDADES 05.03-R01","rvt","Sim"," ","","","","","","",""]
ROW 140: [140,46086,"021. SM 10 - 05.03.2026","OCLE","Prédio Produção","CFTV e Lógica","NEO-23001-AS-LOG-001-MOD PRODUCAO 05.03-R01","rvt","Sim","NEO-23001-PE-LOG-001-MOD PRODUCAO-R01","NEO-23001-AS-LOG-001-PROD1-R00","","","","","",""]
ROW 141: [141,46086,"021. SM 10 - 05.03.2026","OCLE","Prédio Suporte","CFTV e Lógica","NEO-23001-AS-LOG-001-MOD SUPORTE 05.03-R06","rvt","Sim","NEO-23001-PE-LOG-001-MOD SUPORTE-R03","NEO-23001-AS-LOG-001-SUPO1-R00","","","","","",""]
ROW 142: [142,46086,"021. SM 10 - 05.03.2026","OCLE","Prédio Suporte","PCI","NEO-23001-AS-16-PCI 05.03.26-MO-004-R06","rvt","Sim","NEO-23001-PE-16-PCI-MO-004-R06","NEO-23001-AS-PCI-002-SUPO1-R00","","","","","",""]
ROW 143: [143,46086,"021. SM 10 - 05.03.2026","OCLE","Prédio Produção","Climatização","NEO-23001-AS-29-CLI-MO 05.03-000-R06","rvt","Sim","NEO-23001-PE-29-CLI-MO-000-R06","NEO-23001-AS-CLI-002-PROD1-R00","Sala limpa","","","","",""]
ROW 144: [144,46086,"021. SM 10 - 05.03.2026","OCLE","Prédio Produção","Climatização","NEO-23001-AS-CLI 05.03-000-R18","rvt","Sim","NEO-23001-PE-CLI-000-R18","NEO-23001-AS-CLI-001-PROD1-R00","","","","","",""]
ROW 145: [145,46086,"021. SM 10 - 05.03.2026","OCLE","Prédio Produção","Utilidades","NEO-23001-AS-17-UTI-MO 05.03-001-R25","rvt","Sim","NEO-23001-PE-17-UTI-MO-001-R25","NEO-23001-AS-UTI-001-PROD1-R00","","","","","",""]
ROW 146: [146,46078,"01. SM 09 - 25.02.2026","OCLE","ETE","Rede Hidráulica","NEO-23001-AS-HID-001-INFRA 26.02-R00","rvt","Sim","NEO-23001-PE-HID-001-INFRA-R02","NEO-23001-AS-HID-001-ETE1-R00","","","","","",""]
ROW 147: [147,46092,"02. SM 11 - 11.03.2026","OCLE","ETE","Rede Hidráulica","NEO-23001-AS-HID-001-INFRA 11.03-R00","rvt","Sim","NEO-23001-PE-HID-001-INFRA-R02","NEO-23001-AS-HID-001-ETE1-R00","","","","","",""]
ROW 148: [148,46092,"02. SM 11 - 11.03.2026","OCLE","Prédio Produção","Instalações Elétricas","NEO-23001-AS-ELE-001-INFRA 11.03-R00","rvt","Sim","NEO-23001-PE-ELE-001-ELÉTRICO-R03","NEO-23001-AS-ELE-001-ETE1-R00","","","","","",""]
ROW 149: [149,"04/012/2025","2025.12.04 - PRIMEIRA ENTREGA","AeB","ETE","Estrutura de Concreto","367 (ETE)-BIM-R00","ifc","Não","-","","Enviou modelo de concreto, faltou rvt. Modelo de concreto não possui fundações. É preciso modelar","","","","",""]
ROW 150: [150,"04/012/2025","2025.12.04 - PRIMEIRA ENTREGA","AeB","ETE","Drenagem","Alteração proposta tubulação","dwg","Não","-","","Proposta de alteração da tubulação de drenagem -> ajustar modelo de drenagem","","","","",""]
ROW 151: [151,"04/012/2025","2025.12.04 - PRIMEIRA ENTREGA","AeB","ETE","Estrutura de Concreto","NEO-23001-PE-FUN-001-ETE LOCAÇÃO-R03","dwg","Não","-","","Prancha projeto de locação de estacas","","","","",""]
ROW 152: [152,"04/012/2025","2025.12.04 - PRIMEIRA ENTREGA","AeB","ETE","Estrutura de Concreto","NEO-23001-PE-FUN-001-ETE LOCAÇÃO-R03","pdf","Não","-","","Prancha projeto de locação de estacas","","","","",""]
ROW 153: [153,"04/012/2025","2025.12.04 - PRIMEIRA ENTREGA","AeB","ETE","Relatório","Relatório de descrição de alterações de projetos - Primeira entrega ETE","pdf","Não","-","","","","","","",""]
ROW 154: [154,46009,"2025.12.18 - SEGUNDA ENTREGA","AeB","ETE","Relatório","Relatório de descrição de alterações de projetos - Segunda entrega ETE","pdf","Não","-","","Compatibilização e observações","","","","",""]
ROW 155: [155,46037,"2026.01.15 - TERCEIRA ENTREGA","AeB","ETE","Estrutura de Concreto","BAMS 006 - NEODENT - TAMPA PRÉ MOLDADA_ass","pdf","Não","-","","Boletim de aprovação de materiais e serviços","","","","",""]
ROW 156: [156,46037,"2026.01.15 - TERCEIRA ENTREGA","AeB","ETE","Estrutura de Concreto","NEO-23001-PE-CON-009-ESTR-CONCRETO-R01","dwg","Não","-","","Projeto Estrutural - Sala Sopradores 01 - armadura do radier - Alteração das tampas das estações elevatórias de pré-fabricadas para tampas moldadas in loco e posteriormente içadas, conforme BAMS-06 (01/12/2025).","","","","",""]
ROW 157: [157,46037,"2026.01.15 - TERCEIRA ENTREGA","AeB","ETE","Estrutura de Concreto","NEO-23001-PE-FUN-001-ETE LOCAÇÃO-R03","dwg","Não","-","","Emissão da Revisão R03 do projeto de fundações, com detalhamento de vigas baldrames e blocos de apoio para a base do steel deck metálico.","","","","",""]
ROW 158: [158,46037,"2026.01.15 - TERCEIRA ENTREGA","AeB","ETE","Estrutura de Concreto","NEO-23001-PE-FUN-001-ETE LOCAÇÃO-R03","pdf","Não","-","","Emissão da Revisão R03 do projeto de fundações, com detalhamento de vigas baldrames e blocos de apoio para a base do steel deck metálico.","","","","",""]
ROW 159: [159,46037,"2026.01.15 - TERCEIRA ENTREGA","AeB","ETE","Estrutura Metálica","NEO-23001-PE-MET-009-ESTR. METÁLICA-R03","dwg","Não","-","","Emissão da Revisão R03 das pranchas 09 e 10 do projeto executivo da estrutura metálica.","","","","",""]
ROW 160: [160,46037,"2026.01.15 - TERCEIRA ENTREGA","AeB","ETE","Estrutura Metálica","NEO-23001-PE-MET-009-ESTR. METÁLICA-R03","pdf","Não","-","","Emissão da Revisão R03 das pranchas 09 e 10 do projeto executivo da estrutura metálica.","","","","",""]
ROW 161: [161,46037,"2026.01.15 - TERCEIRA ENTREGA","AeB","ETE","Estrutura Metálica","NEO-23001-PE-MET-010-ESTR. METÁLICA-R03","dwg","Não","-","","Emissão da Revisão R03 das pranchas 09 e 10 do projeto executivo da estrutura metálica.","","","","",""]
ROW 162: [162,46037,"2026.01.15 - TERCEIRA ENTREGA","AeB","ETE","Estrutura Metálica","NEO-23001-PE-MET-010-ESTR. METÁLICA-R03","pdf","Não","-","","Emissão da Revisão R03 das pranchas 09 e 10 do projeto executivo da estrutura metálica.","","","","",""]
ROW 163: [163,46037,"2026.01.15 - TERCEIRA ENTREGA","AeB","ETE","Estrutura Metálica","NEO-23001-PE-MET-011-ESTR. METÁLICA-R00","dwg","Não","-","","Emissão R00 das pranchas 11, 12 e 13, com novos detalhamentos executivos, aguardando validação do calculista","","","","",""]
ROW 164: [164,46037,"2026.01.15 - TERCEIRA ENTREGA","AeB","ETE","Estrutura Metálica","NEO-23001-PE-MET-011-ESTR. METÁLICA-R00","pdf","Não","-","","Emissão R00 das pranchas 11, 12 e 13, com novos detalhamentos executivos, aguardando validação do calculista","","","","",""]
ROW 165: [165,46037,"2026.01.15 - TERCEIRA ENTREGA","AeB","ETE","Estrutura Metálica","NEO-23001-PE-MET-012-ESTR. METÁLICA-R00","dwg","Não","-","","Emissão R00 das pranchas 11, 12 e 13, com novos detalhamentos executivos, aguardando validação do calculista","","","","",""]
ROW 166: [166,46037,"2026.01.15 - TERCEIRA ENTREGA","AeB","ETE","Estrutura Metálica","NEO-23001-PE-MET-012-ESTR. METÁLICA-R00","pdf","Não","-","","Emissão R00 das pranchas 11, 12 e 13, com novos detalhamentos executivos, aguardando validação do calculista","","","","",""]
ROW 167: [167,46037,"2026.01.15 - TERCEIRA ENTREGA","AeB","ETE","Estrutura Metálica","NEO-23001-PE-MET-013-ESTR. METÁLICA-R00","dwg","Não","-","","Emissão R00 das pranchas 11, 12 e 13, com novos detalhamentos executivos, aguardando validação do calculista","","","","",""]
ROW 168: [168,46037,"2026.01.15 - TERCEIRA ENTREGA","AeB","ETE","Estrutura Metálica","NEO-23001-PE-MET-013-ESTR. METÁLICA-R00","pdf","Não","-","","Emissão R00 das pranchas 11, 12 e 13, com novos detalhamentos executivos, aguardando validação do calculista","","","","",""]
ROW 169: [169,46037,"2026.01.15 - TERCEIRA ENTREGA","AeB","ETE","Relatório","Relatório de descrição de alterações de projetos - Terceira entrega ETE","pdf","Não","-","","Não há modelo de metálica com as alterações do piperack (revisões aguardam validação do calculista)","","","","",""]
ROW 170: [170,46052,"2026.01.30 - QUARTA ENTREGA","AeB","ETE","Arquitetura","SPN.ARQ.07.PE.001.R02-Impl-Plantas Térreo-2-Pav-Cob","dwg","Não","-","","Não atualizou modelo - Alteração do sentido de caimento da laje de cobertura da estrutura pré-moldada, invertendo a direção originalmente prevista. A alteração demandará emissão de novo DWG de detalhamento.","Verificar se modelo de arquitetura de projeto apresenta caimento da laje> Se sim, pedir para atualizar modelo as built (rvt)","","","",""]
ROW 171: [171,46052,"2026.01.30 - QUARTA ENTREGA","AeB","ETE","Estrutura Metálica","63 - A&B - NEODENT - ETE & SEDE - 18-01-26","ifc","Não","-","","Entrega apenas ifc. Modelo de fabricação","Pedir modelo rvt atualizado","","","",""]
ROW 172: [172,46052,"2026.01.30 - QUARTA ENTREGA","AeB","ETE","Estrutura Metálica","63B-CHE1_R00","pdf","Não","-","","","","","","",""]
ROW 173: [173,46052,"2026.01.30 - QUARTA ENTREGA","AeB","ETE","Estrutura Metálica","63B-CHE2_R00","pdf","Não","-","","","","","","",""]
ROW 174: [174,46052,"2026.01.30 - QUARTA ENTREGA","AeB","ETE","Estrutura Metálica","63B-CHE3_R00","pdf","Não","-","","","","","","",""]
ROW 175: [175,46052,"2026.01.30 - QUARTA ENTREGA","AeB","ETE","Estrutura Metálica","63B-CHE4_R00","pdf","Não","-","","","","","","",""]
ROW 176: [176,46052,"2026.01.30 - QUARTA ENTREGA","AeB","ETE","Estrutura Metálica","63B-CHE5_R00","pdf","Não","-","","","","","","",""]
ROW 177: [177,46052,"2026.01.30 - QUARTA ENTREGA","AeB","ETE","Estrutura Metálica","63B-CHE6_R00","pdf","Não","-","","","","","","",""]
ROW 178: [178,46052,"2026.01.30 - QUARTA ENTREGA","AeB","ETE","Estrutura Metálica","63B-CHE7_R00","pdf","Não","-","","","","","","",""]
ROW 179: [179,46052,"2026.01.30 - QUARTA ENTREGA","AeB","ETE","Estrutura Metálica","63B-CHE8_R00","pdf","Não","-","","","","","","",""]
ROW 180: [180,46052,"2026.01.30 - QUARTA ENTREGA","AeB","ETE","Estrutura Metálica","63B-CHE9_R00","pdf","Não","-","","","","","","",""]
ROW 181: [181,46052,"2026.01.30 - QUARTA ENTREGA","AeB","ETE","Estrutura Metálica","63B-CHE10_R00","pdf","Não","-","","","","","","",""]
ROW 182: [182,46052,"2026.01.30 - QUARTA ENTREGA","AeB","ETE","Estrutura Metálica","63B-CHE11_R00","pdf","Não","-","","","","","","",""]
ROW 183: [183,46052,"2026.01.30 - QUARTA ENTREGA","AeB","ETE","Estrutura Metálica","63B-CHE12_R00","pdf","Não","-","","","","","","",""]
ROW 184: [184,46065,"2026.02.12 - QUINTA ENTREGA","AeB","ETE","Estrutura de Concreto","NEO-23001-PE-CON-009-ESTR-CONCRETO-R01","dwg","Não","-","","Fundações – Sala de Sopradores (solução definida via ASA e base executada conforme projeto aprovado). Não existe modelo das fundações.","Necessário modelar As Built","","","",""]
ROW 185: [185,46065,"2026.02.12 - QUINTA ENTREGA","AeB","ETE","Estrutura de Concreto","NEO-23001-PE-EPF-003-ETE CAPEAMENTO-R00","dwg","Não","-","","Projeto de capeamento das lajes","","","","",""]
ROW 186: [186,46065,"2026.02.12 - QUINTA ENTREGA","AeB","ETE","Estrutura de Concreto","NEO-23001-PE-EPF-023-ETE MARQUISE-R00","dwg","Não","-","","O projeto de escoramento da marquise encontra-se em desenvolvimento e ainda não integra o AS-BUILT nesta quinzena.","","","","",""]
ROW 187: [187,46065,"2026.02.12 - QUINTA ENTREGA","AeB","ETE","Estrutura de Concreto","NEO-23001-PE-EPF-023-ETE MARQUISE-R00","pdf","Não","-","","O projeto de escoramento da marquise encontra-se em desenvolvimento e ainda não integra o AS-BUILT nesta quinzena.","","","","",""]
ROW 188: [188,46065,"2026.02.12 - QUINTA ENTREGA","AeB","ETE","Estrutura Metálica","NEO-23001-PE-MET-002-ESTR.METÁLICA-R01","dwg","Não","-","","Não atualizou modelo - Atualização do projeto executivo do steel deck, com inclusão de 1 viga adicional, conforme solicitação do cliente formalizada via BAM-002.01 – OCLE.","Pedir modelo atualizado","","","",""]
ROW 189: [189,46065,"2026.02.12 - QUINTA ENTREGA","AeB","ETE","Relatório","Relatório de descrição de alterações de projetos - Quinta entrega - ETE","pdf","Não","-","","","","","","",""]
ROW 190: [190,46079,"2026.02.26 - SEXTA ENTREGA","AeB","ETE","Estrutura de Concreto","NEO-23001-PE-EPF-165--R02","dwg","Não","-","","Projeto INSERTOS INS-01, INS-02, INS-101 E CHAPA BASE CH-01 - escoramento da marquise.","Necessário modelar As Built? Sexta entrega faltou relatório","","","",""]
ROW 191: [191,46079,"2026.02.26 - SEXTA ENTREGA","AeB","ETE","Estrutura de Concreto","NEO-23001-PE-EPF-165--R02","pdf","Não","-","","","","","","",""]
ROW 192: [192,46093,"2026.03.12 - SÉTIMA ENTREGA","AeB","ETE","Arquitetura","SPN.ARQ.07.PE.001.R02-Impl-Plantas Térreo-2 Pav-Cob","dwg","Não","-","","COMPATIBILIZAÇÃO COM ESTRUTURA PRÉ-MOLDADA","Sétima entrega faltou relatório","","","",""]
ROW 193: [193,46093,"2026.03.12 - SÉTIMA ENTREGA","AeB","ETE","Arquitetura","SPN.ARQ.07.PE.001.R02-Impl-Plantas Térreo-2 Pav-Cob","pdf","Não","-","","","","","","",""]
ROW 194: [194,45995,"2025.12.04 - PRIMEIRA ENTREGA","AeB","Sede Recreativa","Estrutura de Concreto","367 (SEDE)-BIM-R01","ifc","Não","-","","Modelo ifc com furos na estrutura","Pedir modelo rvt atualizado","","","",""]
ROW 195: [195,45995,"2025.12.04 - PRIMEIRA ENTREGA","AeB","Sede Recreativa","Estrutura de Concreto","DIN367-MONTAGEM-SEDE-M101-FURAÇÕES VIGAS-R00","dwg","Não","-","","Inclusão de furos estruturais","","","","",""]
ROW 196: [196,45995,"2025.12.04 - PRIMEIRA ENTREGA","AeB","Sede Recreativa","Estrutura de Concreto","DIN367-MONTAGEM-SEDE-M101-PLANTAS-R01","dwg","Não","-","","Inclusão de furos estruturais","","","","",""]
ROW 197: [197,45995,"2025.12.04 - PRIMEIRA ENTREGA","AeB","Sede Recreativa","Estrutura de Concreto","DIN367-MONTAGEM-SEDE-M101-PLANTAS-R01","pdf","Não","-","","Inclusão de furos estruturais","","","","",""]
ROW 198: [198,45995,"2025.12.04 - PRIMEIRA ENTREGA","AeB","Sede Recreativa","Estrutura de Concreto","DIN367-MONTAGEM-SEDE-M102-CORTES-R01","dwg","Não","-","","Inclusão de furos estruturais","","","","",""]
ROW 199: [199,45995,"2025.12.04 - PRIMEIRA ENTREGA","AeB","Sede Recreativa","Estrutura de Concreto","DIN367-MONTAGEM-SEDE-M102-CORTES-R01","pdf","Não","-","","Inclusão de furos estruturais","","","","",""]
ROW 200: [200,45995,"2025.12.04 - PRIMEIRA ENTREGA","AeB","Sede Recreativa","Estrutura de Concreto","NEO-23001-PE-FUN-004-SED LOCAÇÃO-R01","dwg","Não","-","","Atualização de posicionamento e parâmetros. Não tem fundação modelada","Necessário modelar para as built","","","",""]
ROW 201: [201,45995,"2025.12.04 - PRIMEIRA ENTREGA","AeB","Sede Recreativa","Estrutura de Concreto","NEO-23001-PE-FUN-004-SED LOCAÇÃO-R01","pdf","Não","-","","Atualização de posicionamento e parâmetros","","","","",""]
